Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,choice made,reaction time
3,1555339118796,15/04/2019 14:38:38,1555339118298,-5,15/04/2019 09:38:38,6138,39,task-j8g3,,2463577,5c7070519f9392000150023c,680136,,complete,,5cb492614a93d0001ba7bb7b,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,1360x768,1360x625,after questionnairs,AMI,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Completely TRUE"",""Q1"":""Quite true"",""Q2"":""Completely UNTRUE"",""Q3"":""Completely TRUE"",""Q4"":""Mostly untrue"",""Q5"":""Completely TRUE""}",27945.375000010245
1,1555339536816,15/04/2019 14:45:36,1555339535576,1,15/04/2019 15:45:35,6138,39,task-j8g3,,2463643,5ca80fe7d8006f00176eef4d,680115,,complete,,5cb49188237faf001357c564,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,2560x1440,2560x1329,after questionnairs,AMI,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Neither true nor untrue"",""Q1"":""Mostly untrue"",""Q2"":""Mostly untrue"",""Q3"":""Quite true"",""Q4"":""Mostly untrue"",""Q5"":""Neither true nor untrue""}",39525.06000001449
2,1555339578536,15/04/2019 14:46:18,1555339577434,1,15/04/2019 15:46:17,6138,39,task-j8g3,,2463643,5ca80fe7d8006f00176eef4d,680115,,complete,,5cb49188237faf001357c564,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,2560x1440,2560x1329,after questionnairs,AMI,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Mostly untrue"",""Q2"":""Quite true"",""Q3"":""Neither true nor untrue"",""Q4"":""Quite true"",""Q5"":""Quite true"",""Q6"":""Mostly untrue""}",41851.01499999291
3,1555339617212,15/04/2019 14:46:57,1555339615992,1,15/04/2019 15:46:55,6138,39,task-j8g3,,2463643,5ca80fe7d8006f00176eef4d,680115,,complete,,5cb49188237faf001357c564,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,2560x1440,2560x1329,after questionnairs,AMI,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Mostly untrue"",""Q1"":""Mostly untrue"",""Q2"":""Neither true nor untrue"",""Q3"":""Quite true"",""Q4"":""Quite true"",""Q5"":""Quite true""}",38553.200000023935
1,1555339558160,15/04/2019 14:45:58,1555339558063,1,15/04/2019 15:45:58,6138,39,task-j8g3,,2463644,5c541bd1179da1000166dde7,680168,,complete,,5cb494504d3e230016e4f69f,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.103,1600x900,1600x757,after questionnairs,AMI,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Quite true"",""Q2"":""Quite true"",""Q3"":""Quite true"",""Q4"":""Quite true"",""Q5"":""Quite true""}",28525.465000000622
2,1555339602854,15/04/2019 14:46:42,1555339602765,1,15/04/2019 15:46:42,6138,39,task-j8g3,,2463644,5c541bd1179da1000166dde7,680168,,complete,,5cb494504d3e230016e4f69f,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.103,1600x900,1600x757,after questionnairs,AMI,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Completely TRUE"",""Q1"":""Quite true"",""Q2"":""Quite true"",""Q3"":""Quite true"",""Q4"":""Quite true"",""Q5"":""Completely TRUE"",""Q6"":""Mostly untrue""}",44663.37000000022
3,1555339640096,15/04/2019 14:47:20,1555339640022,1,15/04/2019 15:47:20,6138,39,task-j8g3,,2463644,5c541bd1179da1000166dde7,680168,,complete,,5cb494504d3e230016e4f69f,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.103,1600x900,1600x757,after questionnairs,AMI,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Quite true"",""Q2"":""Quite true"",""Q3"":""Completely TRUE"",""Q4"":""Quite true"",""Q5"":""Quite true""}",37217.60499999982
1,1555339648918,15/04/2019 14:47:28,1555339648794,1,15/04/2019 15:47:28,6138,39,task-j8g3,,2463647,590df20e12802600017e1006,680156,,complete,,5cb493832f8b9b00017d7bc0,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,1366x768,1366x657,after questionnairs,AMI,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Completely TRUE"",""Q1"":""Completely TRUE"",""Q2"":""Completely TRUE"",""Q3"":""Completely TRUE"",""Q4"":""Completely TRUE"",""Q5"":""Neither true nor untrue""}",29997.379999957047
2,1555339697245,15/04/2019 14:48:17,1555339697190,1,15/04/2019 15:48:17,6138,39,task-j8g3,,2463647,590df20e12802600017e1006,680156,,complete,,5cb493832f8b9b00017d7bc0,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,1366x768,1366x657,after questionnairs,AMI,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Completely TRUE"",""Q1"":""Neither true nor untrue"",""Q2"":""Completely TRUE"",""Q3"":""Quite true"",""Q4"":""Completely TRUE"",""Q5"":""Completely TRUE"",""Q6"":""Mostly untrue""}",48366.99000000954
3,1555339718038,15/04/2019 14:48:38,1555339717952,1,15/04/2019 15:48:37,6138,39,task-j8g3,,2463647,590df20e12802600017e1006,680156,,complete,,5cb493832f8b9b00017d7bc0,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,1366x768,1366x657,after questionnairs,AMI,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Completely TRUE"",""Q1"":""Completely TRUE"",""Q2"":""Completely TRUE"",""Q3"":""Completely TRUE"",""Q4"":""Completely TRUE"",""Q5"":""Completely TRUE""}",20735.71500001708
