Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,reaction time,stimulus,button pressed
4,1562173015337,03/07/2019 16:56:55,1562173011482,1,03/07/2019 17:56:51,8449,8,task-jgum,,2760076,59efd1e377860e0001513786,765965,,complete,,5d1cdddc8923b4000136fa18,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 74.0.3729.169,1440x900,1152x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,1268.930000020191,/task/29849/3/asset/Goat.mp3,0
1,1562173488156,03/07/2019 17:04:48,1562173488304,1,03/07/2019 18:04:48,8449,8,task-jgum,,2760112,5a384471e7bc8000010a8df2,765970,,complete,,5d1cdddb08499e0019b48c97,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,15817.819999996573,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562173492373,03/07/2019 17:04:52,1562173492545,1,03/07/2019 18:04:52,8449,8,task-jgum,,2760112,5a384471e7bc8000010a8df2,765970,,complete,,5d1cdddb08499e0019b48c97,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,4200.129999982892,/task/29849/3/asset/Dog.mp3,1
3,1562173498819,03/07/2019 17:04:58,1562173499064,1,03/07/2019 18:04:59,8449,8,task-jgum,,2760112,5a384471e7bc8000010a8df2,765970,,complete,,5d1cdddb08499e0019b48c97,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,6516.414999990957,/task/29849/3/asset/Owl.mp3,0
4,1562173502877,03/07/2019 17:05:02,1562173503136,1,03/07/2019 18:05:03,8449,8,task-jgum,,2760112,5a384471e7bc8000010a8df2,765970,,complete,,5d1cdddb08499e0019b48c97,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,4069.22500001383,/task/29849/3/asset/Goat.mp3,0
1,1562173706157,03/07/2019 17:08:26,1562173699192,1,03/07/2019 18:08:19,8449,8,task-jgum,,2760134,57eee8f1e0964a00018a802d,765973,,complete,,5d1ce06808499e0001b489c4,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,6973.785000038333,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562173721003,03/07/2019 17:08:41,1562173714137,1,03/07/2019 18:08:34,8449,8,task-jgum,,2760134,57eee8f1e0964a00018a802d,765973,,complete,,5d1ce06808499e0001b489c4,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,14902.905000024475,/task/29849/3/asset/Dog.mp3,0
3,1562173731094,03/07/2019 17:08:51,1562173724240,1,03/07/2019 18:08:44,8449,8,task-jgum,,2760134,57eee8f1e0964a00018a802d,765973,,complete,,5d1ce06808499e0001b489c4,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,10090.735000092536,/task/29849/3/asset/Owl.mp3,0
4,1562173734094,03/07/2019 17:08:54,1562173727230,1,03/07/2019 18:08:47,8449,8,task-jgum,,2760134,57eee8f1e0964a00018a802d,765973,,complete,,5d1ce06808499e0001b489c4,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2979.9699999857694,/task/29849/3/asset/Goat.mp3,0
1,1562173810163,03/07/2019 17:10:10,1562173808966,1,03/07/2019 18:10:08,8449,8,task-jgum,,2760152,5a0c438a728b1b0001ad9683,765978,,complete,,5d1ce0dd57b8ba00175c4d9f,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,15055.575000005774,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562173817725,03/07/2019 17:10:17,1562173816773,1,03/07/2019 18:10:16,8449,8,task-jgum,,2760152,5a0c438a728b1b0001ad9683,765978,,complete,,5d1ce0dd57b8ba00175c4d9f,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,7781.064999988303,/task/29849/3/asset/Dog.mp3,1
3,1562173820101,03/07/2019 17:10:20,1562173819136,1,03/07/2019 18:10:19,8449,8,task-jgum,,2760152,5a0c438a728b1b0001ad9683,765978,,complete,,5d1ce0dd57b8ba00175c4d9f,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2355.4500000027474,/task/29849/3/asset/Owl.mp3,0
4,1562173823198,03/07/2019 17:10:23,1562173822254,1,03/07/2019 18:10:22,8449,8,task-jgum,,2760152,5a0c438a728b1b0001ad9683,765978,,complete,,5d1ce0dd57b8ba00175c4d9f,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,3113.370000006398,/task/29849/3/asset/Goat.mp3,0
1,1562173876399,03/07/2019 17:11:16,1562173874866,1,03/07/2019 18:11:14,8449,8,task-jgum,,2760167,5cab28d65642d20011cad10e,765983,,complete,,5d1ce17c9fab6a001c562a3a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3861.1650000093505,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562173881982,03/07/2019 17:11:21,1562173880502,1,03/07/2019 18:11:20,8449,8,task-jgum,,2760167,5cab28d65642d20011cad10e,765983,,complete,,5d1ce17c9fab6a001c562a3a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,5626.6300000716,/task/29849/3/asset/Dog.mp3,1
3,1562173884467,03/07/2019 17:11:24,1562173882988,1,03/07/2019 18:11:22,8449,8,task-jgum,,2760167,5cab28d65642d20011cad10e,765983,,complete,,5d1ce17c9fab6a001c562a3a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2484.319999930449,/task/29849/3/asset/Owl.mp3,0
4,1562173886345,03/07/2019 17:11:26,1562173884860,1,03/07/2019 18:11:24,8449,8,task-jgum,,2760167,5cab28d65642d20011cad10e,765983,,complete,,5d1ce17c9fab6a001c562a3a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,1870.3499999828637,/task/29849/3/asset/Goat.mp3,0
1,1562173884903,03/07/2019 17:11:24,1562173884810,1,03/07/2019 18:11:24,8449,8,task-jgum,,2760168,5cd29f34354f490012008194,765982,,complete,,5d1ce17202e942001c152615,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 74.0.3729.169,1280x800,1280x615,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3497.7400000207126,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
