Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,choice made,reaction time,
1,1562176299815,03/07/2019 17:51:39,1562176296549,-4,03/07/2019 13:51:36,8449,8,task-uvof,,2760660,5c38b2194a45dc0001654e0c,766005,,complete,,5d1ce46145ebdb00179ae2d9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1333x1156,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Agree"",""Q3"":""Agree""}",7644.695000024512,
2,1562176308051,03/07/2019 17:51:48,1562176304813,-4,03/07/2019 13:51:44,8449,8,task-uvof,,2760660,5c38b2194a45dc0001654e0c,766005,,complete,,5d1ce46145ebdb00179ae2d9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1333x1156,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Agree"",""Q3"":""Disagree""}",8245.989999966696,
3,1562176318006,03/07/2019 17:51:58,1562176314777,-4,03/07/2019 13:51:54,8449,8,task-uvof,,2760660,5c38b2194a45dc0001654e0c,766005,,complete,,5d1ce46145ebdb00179ae2d9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1333x1156,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Agree"",""Q1"":""Disagree"",""Q2"":""Agree"",""Q3"":""Agree""}",9948.765000095591,
4,1562176323954,03/07/2019 17:52:03,1562176320730,-4,03/07/2019 13:52:00,8449,8,task-uvof,,2760660,5c38b2194a45dc0001654e0c,766005,,complete,,5d1ce46145ebdb00179ae2d9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1333x1156,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Agree""}",5941.215000115335,
1,1562176382970,03/07/2019 17:53:02,1562176382745,1,03/07/2019 18:53:02,8449,8,task-uvof,,2760684,5a4a93ab35c9d50001fdd082,766000,,complete,,5d1ce48e55b364001a976abe,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree"",""Q3"":""Strongly agree""}",15858.254999970086,
2,1562176396282,03/07/2019 17:53:16,1562176396035,1,03/07/2019 18:53:16,8449,8,task-uvof,,2760684,5a4a93ab35c9d50001fdd082,766000,,complete,,5d1ce48e55b364001a976abe,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree"",""Q3"":""Disagree""}",13265.104999998584,
3,1562176417081,03/07/2019 17:53:37,1562176416843,1,03/07/2019 18:53:36,8449,8,task-uvof,,2760684,5a4a93ab35c9d50001fdd082,766000,,complete,,5d1ce48e55b364001a976abe,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree"",""Q3"":""Strongly agree""}",20791.94499994628,
4,1562176428471,03/07/2019 17:53:48,1562176428176,1,03/07/2019 18:53:48,8449,8,task-uvof,,2760684,5a4a93ab35c9d50001fdd082,766000,,complete,,5d1ce48e55b364001a976abe,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Strongly agree"",""Q1"":""Agree"",""Q2"":""Agree""}",11323.63500003703,
1,1562176649992,03/07/2019 17:57:29,1562176650677,-3,03/07/2019 14:57:30,8449,8,task-uvof,,2760766,5cd8caa58dcfe200197d9881,766004,,complete,,5d1ce474f2b068001ab63588,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x667,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Agree"",""Q3"":""Agree""}",18309.989999979734,
2,1562176670388,03/07/2019 17:57:50,1562176668358,-3,03/07/2019 14:57:48,8449,8,task-uvof,,2760766,5cd8caa58dcfe200197d9881,766004,,complete,,5d1ce474f2b068001ab63588,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x667,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Agree"",""Q3"":""Disagree""}",17658.085000002757,
