Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4
2,1562173762886,03/07/2019 17:09:22,1562173756015,1,03/07/2019 18:09:16,8449,8,task-fdef,,2760142,57eee8f1e0964a00018a802d,765973,,complete,,5d1ce06808499e0001b489c4,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
3,1562173772971,03/07/2019 17:09:32,1562173766107,1,03/07/2019 18:09:26,8449,8,task-fdef,,2760142,57eee8f1e0964a00018a802d,765973,,complete,,5d1ce06808499e0001b489c4,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
1,1562173833367,03/07/2019 17:10:33,1562173832350,1,03/07/2019 18:10:32,8449,8,task-fdef,,2760157,5a0c438a728b1b0001ad9683,765978,,complete,,5d1ce0dd57b8ba00175c4d9f,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
2,1562173843591,03/07/2019 17:10:43,1562173842635,1,03/07/2019 18:10:42,8449,8,task-fdef,,2760157,5a0c438a728b1b0001ad9683,765978,,complete,,5d1ce0dd57b8ba00175c4d9f,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
3,1562173857665,03/07/2019 17:10:57,1562173856693,1,03/07/2019 18:10:56,8449,8,task-fdef,,2760157,5a0c438a728b1b0001ad9683,765978,,complete,,5d1ce0dd57b8ba00175c4d9f,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
1,1562173892018,03/07/2019 17:11:32,1562173890478,1,03/07/2019 18:11:30,8449,8,task-fdef,,2760170,5cab28d65642d20011cad10e,765983,,complete,,5d1ce17c9fab6a001c562a3a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
2,1562173899710,03/07/2019 17:11:39,1562173898219,1,03/07/2019 18:11:38,8449,8,task-fdef,,2760170,5cab28d65642d20011cad10e,765983,,complete,,5d1ce17c9fab6a001c562a3a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
3,1562173907586,03/07/2019 17:11:47,1562173906101,1,03/07/2019 18:11:46,8449,8,task-fdef,,2760170,5cab28d65642d20011cad10e,765983,,complete,,5d1ce17c9fab6a001c562a3a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
1,1562173896378,03/07/2019 17:11:36,1562173896268,1,03/07/2019 18:11:36,8449,8,task-fdef,,2760171,5cd29f34354f490012008194,765982,,complete,,5d1ce17202e942001c152615,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 74.0.3729.169,1280x800,1280x615,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
2,1562173902071,03/07/2019 17:11:42,1562173902042,1,03/07/2019 18:11:42,8449,8,task-fdef,,2760171,5cd29f34354f490012008194,765982,,complete,,5d1ce17202e942001c152615,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 74.0.3729.169,1280x800,1280x615,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
3,1562173907367,03/07/2019 17:11:47,1562173907307,1,03/07/2019 18:11:47,8449,8,task-fdef,,2760171,5cd29f34354f490012008194,765982,,complete,,5d1ce17202e942001c152615,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 74.0.3729.169,1280x800,1280x615,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
1,1562174040161,03/07/2019 17:14:00,1562174035902,1,03/07/2019 18:13:55,8449,8,task-fdef,,2760186,55d5c5d9db6a810011fa0658,765985,,complete,,5d1ce1be423416001515ac7a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
2,1562174051020,03/07/2019 17:14:11,1562174046823,1,03/07/2019 18:14:06,8449,8,task-fdef,,2760186,55d5c5d9db6a810011fa0658,765985,,complete,,5d1ce1be423416001515ac7a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
3,1562174064927,03/07/2019 17:14:24,1562174059147,1,03/07/2019 18:14:19,8449,8,task-fdef,,2760186,55d5c5d9db6a810011fa0658,765985,,complete,,5d1ce1be423416001515ac7a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
1,1562174199814,03/07/2019 17:16:39,1562174194479,1,03/07/2019 18:16:34,8449,8,task-fdef,,2760205,597da07b2cce5b0001d0ecca,765987,,complete,,5d1ce24daf0ce7001bbb67bb,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1536x750,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
2,1562174223593,03/07/2019 17:17:03,1562174218153,1,03/07/2019 18:16:58,8449,8,task-fdef,,2760205,597da07b2cce5b0001d0ecca,765987,,complete,,5d1ce24daf0ce7001bbb67bb,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1536x750,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
3,1562174232131,03/07/2019 17:17:12,1562174226842,1,03/07/2019 18:17:06,8449,8,task-fdef,,2760205,597da07b2cce5b0001d0ecca,765987,,complete,,5d1ce24daf0ce7001bbb67bb,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1536x750,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
1,1562174399024,03/07/2019 17:19:59,1562174399096,-7,03/07/2019 10:19:59,8449,8,task-fdef,,2760233,56c2f65cc51218000c9786ff,765991,,complete,,5d1ce349b9b03c001798d4c6,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
2,1562174428546,03/07/2019 17:20:28,1562174428628,-7,03/07/2019 10:20:28,8449,8,task-fdef,,2760233,56c2f65cc51218000c9786ff,765991,,complete,,5d1ce349b9b03c001798d4c6,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
3,1562174444127,03/07/2019 17:20:44,1562174444229,-7,03/07/2019 10:20:44,8449,8,task-fdef,,2760233,56c2f65cc51218000c9786ff,765991,,complete,,5d1ce349b9b03c001798d4c6,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
1,1562174420572,03/07/2019 17:20:20,1562174418823,1,03/07/2019 18:20:18,8449,8,task-fdef,,2760237,5cb45ad50225590001acdb70,765992,,complete,,5d1ce31032934b00181589de,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
2,1562174437078,03/07/2019 17:20:37,1562174436956,1,03/07/2019 18:20:36,8449,8,task-fdef,,2760237,5cb45ad50225590001acdb70,765992,,complete,,5d1ce31032934b00181589de,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
3,1562174445188,03/07/2019 17:20:45,1562174445116,1,03/07/2019 18:20:45,8449,8,task-fdef,,2760237,5cb45ad50225590001acdb70,765992,,complete,,5d1ce31032934b00181589de,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
1,1562174456485,03/07/2019 17:20:56,1562174456334,-4,03/07/2019 13:20:56,8449,8,task-fdef,,2760246,5b1ee62544127b000140123a,765993,,complete,,5d1ce34a95a9c100168844f5,computer,Desktop or Laptop,Windows 10,Chrome 74.0.3729.131,1366x768,1366x625,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
2,1562174479306,03/07/2019 17:21:19,1562174479217,-4,03/07/2019 13:21:19,8449,8,task-fdef,,2760246,5b1ee62544127b000140123a,765993,,complete,,5d1ce34a95a9c100168844f5,computer,Desktop or Laptop,Windows 10,Chrome 74.0.3729.131,1366x768,1366x625,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
3,1562174494753,03/07/2019 17:21:34,1562174494666,-4,03/07/2019 13:21:34,8449,8,task-fdef,,2760246,5b1ee62544127b000140123a,765993,,complete,,5d1ce34a95a9c100168844f5,computer,Desktop or Laptop,Windows 10,Chrome 74.0.3729.131,1366x768,1366x625,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
1,1562174515785,03/07/2019 17:21:55,1562174516302,-4,03/07/2019 13:21:56,8449,8,task-fdef,,2760260,5be04ea54a5e53000157ac4f,765995,,complete,,5d1ce3c933e4b60019b14af9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1536x864,1536x730,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
2,1562174537212,03/07/2019 17:22:17,1562174537436,-4,03/07/2019 13:22:17,8449,8,task-fdef,,2760260,5be04ea54a5e53000157ac4f,765995,,complete,,5d1ce3c933e4b60019b14af9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1536x864,1536x730,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
3,1562174548900,03/07/2019 17:22:28,1562174549460,-4,03/07/2019 13:22:29,8449,8,task-fdef,,2760260,5be04ea54a5e53000157ac4f,765995,,complete,,5d1ce3c933e4b60019b14af9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1536x864,1536x730,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
1,1562174836828,03/07/2019 17:27:16,1562174839469,1,03/07/2019 18:27:19,8449,8,task-fdef,,2760304,5b65538ab7193d00012f6e47,766002,,complete,,5d1ce465153c720001986b43,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
2,1562174891188,03/07/2019 17:28:11,1562174893827,1,03/07/2019 18:28:13,8449,8,task-fdef,,2760304,5b65538ab7193d00012f6e47,766002,,complete,,5d1ce465153c720001986b43,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
3,1562174902000,03/07/2019 17:28:22,1562174904711,1,03/07/2019 18:28:24,8449,8,task-fdef,,2760304,5b65538ab7193d00012f6e47,766002,,complete,,5d1ce465153c720001986b43,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
1,1562174846738,03/07/2019 17:27:26,1562174846511,1,03/07/2019 18:27:26,8449,8,task-fdef,,2760305,5a4a93ab35c9d50001fdd082,766000,,complete,,5d1ce48e55b364001a976abe,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
2,1562174885072,03/07/2019 17:28:05,1562174884851,1,03/07/2019 18:28:04,8449,8,task-fdef,,2760305,5a4a93ab35c9d50001fdd082,766000,,complete,,5d1ce48e55b364001a976abe,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
3,1562174910071,03/07/2019 17:28:30,1562174909877,1,03/07/2019 18:28:29,8449,8,task-fdef,,2760305,5a4a93ab35c9d50001fdd082,766000,,complete,,5d1ce48e55b364001a976abe,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
1,1562174901421,03/07/2019 17:28:21,1562174898195,-4,03/07/2019 13:28:18,8449,8,task-fdef,,2760317,5c38b2194a45dc0001654e0c,766005,,complete,,5d1ce46145ebdb00179ae2d9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1333x1156,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
2,1562174921433,03/07/2019 17:28:41,1562174918259,-4,03/07/2019 13:28:38,8449,8,task-fdef,,2760317,5c38b2194a45dc0001654e0c,766005,,complete,,5d1ce46145ebdb00179ae2d9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1333x1156,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
3,1562174935080,03/07/2019 17:28:55,1562174931908,-4,03/07/2019 13:28:51,8449,8,task-fdef,,2760317,5c38b2194a45dc0001654e0c,766005,,complete,,5d1ce46145ebdb00179ae2d9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1333x1156,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
1,1562175148813,03/07/2019 17:32:28,1562175149496,-3,03/07/2019 14:32:29,8449,8,task-fdef,,2760366,5cd8caa58dcfe200197d9881,766004,,complete,,5d1ce474f2b068001ab63588,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x667,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
2,1562175161694,03/07/2019 17:32:41,1562175162425,-3,03/07/2019 14:32:42,8449,8,task-fdef,,2760366,5cd8caa58dcfe200197d9881,766004,,complete,,5d1ce474f2b068001ab63588,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x667,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
3,1562175171255,03/07/2019 17:32:51,1562175171996,-3,03/07/2019 14:32:51,8449,8,task-fdef,,2760366,5cd8caa58dcfe200197d9881,766004,,complete,,5d1ce474f2b068001ab63588,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x667,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
1,1562178774848,03/07/2019 18:32:54,1562178775687,1,03/07/2019 19:32:55,8449,8,task-fdef,,2761053,5663efdd1e460a0011633801,766092,,complete,,5d1cf4569f866e001fe8348e,computer,Desktop or Laptop,Windows 10,Chrome 74.0.3729.131,1366x768,1366x625,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
2,1562178789829,03/07/2019 18:33:09,1562178790716,1,03/07/2019 19:33:10,8449,8,task-fdef,,2761053,5663efdd1e460a0011633801,766092,,complete,,5d1cf4569f866e001fe8348e,computer,Desktop or Laptop,Windows 10,Chrome 74.0.3729.131,1366x768,1366x625,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
3,1562178796690,03/07/2019 18:33:16,1562178797587,1,03/07/2019 19:33:17,8449,8,task-fdef,,2761053,5663efdd1e460a0011633801,766092,,complete,,5d1cf4569f866e001fe8348e,computer,Desktop or Laptop,Windows 10,Chrome 74.0.3729.131,1366x768,1366x625,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
1,1562198107314,03/07/2019 23:55:07,1562198107217,-4,03/07/2019 19:55:07,8449,8,task-fdef,,2761918,5b8c12882cb1e4000133137e,766229,,complete,,5d1d3fa2a7056c000174ff7d,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1536x864,1536x722,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
2,1562198128289,03/07/2019 23:55:28,1562198128226,-4,03/07/2019 19:55:28,8449,8,task-fdef,,2761918,5b8c12882cb1e4000133137e,766229,,complete,,5d1d3fa2a7056c000174ff7d,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1536x864,1536x722,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
3,1562198138334,03/07/2019 23:55:38,1562198138272,-4,03/07/2019 19:55:38,8449,8,task-fdef,,2761918,5b8c12882cb1e4000133137e,766229,,complete,,5d1d3fa2a7056c000174ff7d,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1536x864,1536x722,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
END OF FILE
