Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,reaction time,stimulus,button pressed
3,1562777378220,10/07/2019 16:49:38,1562777378946,1,10/07/2019 17:49:38,8835,5,task-jgum,,2796204,54762f9efdf99b05557e04be,774153,,complete,,5d2616a3c4d71e00190d081c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2043.2049999944866,/task/29849/3/asset/Owl.mp3,0
4,1562777380203,10/07/2019 16:49:40,1562777380936,1,10/07/2019 17:49:40,8835,5,task-jgum,,2796204,54762f9efdf99b05557e04be,774153,,complete,,5d2616a3c4d71e00190d081c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1987.6149999909103,/task/29849/3/asset/Goat.mp3,0
1,1562777500726,10/07/2019 16:51:40,1562777500452,2,10/07/2019 18:51:40,8835,5,task-jgum,,2796270,5b5ca33f295c4b0001c294d0,774133,,complete,,5d2615f53f78ec001ba0777f,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,19925.060000000485,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562777503804,10/07/2019 16:51:43,1562777503622,2,10/07/2019 18:51:43,8835,5,task-jgum,,2796270,5b5ca33f295c4b0001c294d0,774133,,complete,,5d2615f53f78ec001ba0777f,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,3158.45999999965,/task/29849/3/asset/Dog.mp3,1
3,1562777511194,10/07/2019 16:51:51,1562777510987,2,10/07/2019 18:51:50,8835,5,task-jgum,,2796270,5b5ca33f295c4b0001c294d0,774133,,complete,,5d2615f53f78ec001ba0777f,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,7357.829999999922,/task/29849/3/asset/Owl.mp3,0
4,1562777513523,10/07/2019 16:51:53,1562777513192,2,10/07/2019 18:51:53,8835,5,task-jgum,,2796270,5b5ca33f295c4b0001c294d0,774133,,complete,,5d2615f53f78ec001ba0777f,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2198.7749999998414,/task/29849/3/asset/Goat.mp3,0
1,1562777816589,10/07/2019 16:56:56,1562777813966,3,10/07/2019 19:56:53,8835,5,task-jgum,,2796345,5c9d4168368fa2001578c7a6,774164,,complete,,5d2615a6992db9000189c552,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,6648.430000059307,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562777820636,10/07/2019 16:57:00,1562777818073,3,10/07/2019 19:56:58,8835,5,task-jgum,,2796345,5c9d4168368fa2001578c7a6,774164,,complete,,5d2615a6992db9000189c552,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,4090.7000000588596,/task/29849/3/asset/Dog.mp3,1
3,1562777823386,10/07/2019 16:57:03,1562777820806,3,10/07/2019 19:57:00,8835,5,task-jgum,,2796345,5c9d4168368fa2001578c7a6,774164,,complete,,5d2615a6992db9000189c552,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2729.990000021644,/task/29849/3/asset/Owl.mp3,0
4,1562777824573,10/07/2019 16:57:04,1562777822010,3,10/07/2019 19:57:02,8835,5,task-jgum,,2796345,5c9d4168368fa2001578c7a6,774164,,complete,,5d2615a6992db9000189c552,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1201.6249999869615,/task/29849/3/asset/Goat.mp3,0
1,1562781094201,10/07/2019 17:51:34,1562781092903,1,10/07/2019 18:51:32,8835,5,task-jgum,,2796564,5d1770db8992b3000156d222,774222,,complete,,5d2624d98352f000013bc296,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1920x1200,1920x1057,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,6282.619999983581,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562781097436,10/07/2019 17:51:37,1562781096357,1,10/07/2019 18:51:36,8835,5,task-jgum,,2796564,5d1770db8992b3000156d222,774222,,complete,,5d2624d98352f000013bc296,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1920x1200,1920x1057,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,3448.384999996051,/task/29849/3/asset/Dog.mp3,1
3,1562781099389,10/07/2019 17:51:39,1562781098267,1,10/07/2019 18:51:38,8835,5,task-jgum,,2796564,5d1770db8992b3000156d222,774222,,complete,,5d2624d98352f000013bc296,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1920x1200,1920x1057,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1906.0499999905005,/task/29849/3/asset/Owl.mp3,0
4,1562781102264,10/07/2019 17:51:42,1562781101178,1,10/07/2019 18:51:41,8835,5,task-jgum,,2796564,5d1770db8992b3000156d222,774222,,complete,,5d2624d98352f000013bc296,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1920x1200,1920x1057,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2907.050000008894,/task/29849/3/asset/Goat.mp3,0
1,1562782392744,10/07/2019 18:13:12,1562782392583,1,10/07/2019 19:13:12,8835,5,task-jgum,,2796662,5a95887035237b0001125dfe,774240,,complete,,5d262977b28f470017f02277,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,2560x1440,2560x1298,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,38273.41499999966,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562782398538,10/07/2019 18:13:18,1562782398442,1,10/07/2019 19:13:18,8835,5,task-jgum,,2796662,5a95887035237b0001125dfe,774240,,complete,,5d262977b28f470017f02277,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,2560x1440,2560x1298,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,5848.469999998997,/task/29849/3/asset/Dog.mp3,1
3,1562782400631,10/07/2019 18:13:20,1562782400545,1,10/07/2019 19:13:20,8835,5,task-jgum,,2796662,5a95887035237b0001125dfe,774240,,complete,,5d262977b28f470017f02277,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,2560x1440,2560x1298,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2101.520000000164,/task/29849/3/asset/Owl.mp3,0
