Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,Question Key,Response
11,1562772667773,10/07/2019 15:31:07,1562772667699,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-10,1
12,1562772667773,10/07/2019 15:31:07,1562772667700,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-11,1
13,1562772667773,10/07/2019 15:31:07,1562772667700,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-12,1
14,1562772667773,10/07/2019 15:31:07,1562772667701,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-13,1
15,1562772667773,10/07/2019 15:31:07,1562772667701,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-14,1
16,1562772667773,10/07/2019 15:31:07,1562772667702,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-15,1
17,1562772667773,10/07/2019 15:31:07,1562772667702,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-16,1
18,1562772667773,10/07/2019 15:31:07,1562772667704,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-17,1
19,1562772667773,10/07/2019 15:31:07,1562772667704,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,57189
1,1562774559948,10/07/2019 16:02:39,1562774559885,1,10/07/2019 17:02:39,8835,5,questionnaire-pwdh,,2795246,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562774586507,10/07/2019 16:03:06,1562774586356,1,10/07/2019 17:03:06,8835,5,questionnaire-pwdh,,2795246,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x941,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-1,1
3,1562774586631,10/07/2019 16:03:06,1562774586358,1,10/07/2019 17:03:06,8835,5,questionnaire-pwdh,,2795246,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x941,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-2,1
4,1562774586631,10/07/2019 16:03:06,1562774586358,1,10/07/2019 17:03:06,8835,5,questionnaire-pwdh,,2795246,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x941,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-3,1
5,1562774586631,10/07/2019 16:03:06,1562774586359,1,10/07/2019 17:03:06,8835,5,questionnaire-pwdh,,2795246,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x941,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-4,1
6,1562774586631,10/07/2019 16:03:06,1562774586359,1,10/07/2019 17:03:06,8835,5,questionnaire-pwdh,,2795246,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x941,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-5,1
7,1562774586631,10/07/2019 16:03:06,1562774586359,1,10/07/2019 17:03:06,8835,5,questionnaire-pwdh,,2795246,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x941,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-6,1
8,1562774586631,10/07/2019 16:03:06,1562774586360,1,10/07/2019 17:03:06,8835,5,questionnaire-pwdh,,2795246,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x941,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-7,1
9,1562774586631,10/07/2019 16:03:06,1562774586360,1,10/07/2019 17:03:06,8835,5,questionnaire-pwdh,,2795246,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x941,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-8,1
10,1562774586631,10/07/2019 16:03:06,1562774586361,1,10/07/2019 17:03:06,8835,5,questionnaire-pwdh,,2795246,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x941,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-9,1
11,1562774586631,10/07/2019 16:03:06,1562774586361,1,10/07/2019 17:03:06,8835,5,questionnaire-pwdh,,2795246,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x941,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-10,1
12,1562774586631,10/07/2019 16:03:06,1562774586361,1,10/07/2019 17:03:06,8835,5,questionnaire-pwdh,,2795246,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x941,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-11,1
13,1562774586631,10/07/2019 16:03:06,1562774586361,1,10/07/2019 17:03:06,8835,5,questionnaire-pwdh,,2795246,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x941,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-12,1
