Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,choice made,reaction time,
3,1562800989041,10/07/2019 23:23:09,1562800990506,-5,10/07/2019 18:23:10,8835,5,task-uvof,,2797910,5c7498dd2082fe0015f4d419,774545,,complete,,5d266d6d5b533b001701d5c9,computer,Desktop or Laptop,Mac OS 10.12.3,Chrome 73.0.3683.103,1280x800,1280x625,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Strongly agree"",""Q2"":""Agree"",""Q3"":""Agree""}",12658.315000124276,
4,1562800996642,10/07/2019 23:23:16,1562800998091,-5,10/07/2019 18:23:18,8835,5,task-uvof,,2797910,5c7498dd2082fe0015f4d419,774545,,complete,,5d266d6d5b533b001701d5c9,computer,Desktop or Laptop,Mac OS 10.12.3,Chrome 73.0.3683.103,1280x800,1280x625,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree""}",7575.089999940246,
1,1562801016977,10/07/2019 23:23:36,1562801015761,2,11/07/2019 01:23:35,8835,5,task-uvof,,2797915,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Agree"",""Q2"":""Strongly agree"",""Q3"":""Strongly agree""}",15317.305000000488,
2,1562801030438,10/07/2019 23:23:50,1562801029288,2,11/07/2019 01:23:49,8835,5,task-uvof,,2797915,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Agree"",""Q3"":""Disagree""}",13514.890000000378,
3,1562801046931,10/07/2019 23:24:06,1562801045758,2,11/07/2019 01:24:05,8835,5,task-uvof,,2797915,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Disagree"",""Q2"":""Strongly agree"",""Q3"":""Strongly agree""}",16459.105000000818,
4,1562801056209,10/07/2019 23:24:16,1562801055057,2,11/07/2019 01:24:15,8835,5,task-uvof,,2797915,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Agree"",""Q2"":""Strongly agree""}",9290.814999999384,
1,1562801242893,10/07/2019 23:27:22,1562801242877,1,11/07/2019 00:27:22,8835,5,task-uvof,,2797930,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree"",""Q3"":""Strongly agree""}",8736.915000001318,
2,1562801255901,10/07/2019 23:27:35,1562801255931,1,11/07/2019 00:27:35,8835,5,task-uvof,,2797930,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Agree"",""Q3"":""Disagree""}",13036.1550000016,
3,1562801265921,10/07/2019 23:27:45,1562801265971,1,11/07/2019 00:27:45,8835,5,task-uvof,,2797930,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree"",""Q3"":""Agree""}",10029.875000000175,
4,1562801276216,10/07/2019 23:27:56,1562801276259,1,11/07/2019 00:27:56,8835,5,task-uvof,,2797930,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Agree"",""Q2"":""Strongly agree""}",10279.665000001842,
1,1562801537241,10/07/2019 23:32:17,1562801537932,-4,10/07/2019 19:32:17,8835,5,task-uvof,,2797943,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree"",""Q3"":""Strongly agree""}",9806.165000001783,
2,1562801549412,10/07/2019 23:32:29,1562801550187,-4,10/07/2019 19:32:30,8835,5,task-uvof,,2797943,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Disagree"",""Q2"":""Agree"",""Q3"":""Disagree""}",12243.9349999986,
3,1562801564490,10/07/2019 23:32:44,1562801565235,-4,10/07/2019 19:32:45,8835,5,task-uvof,,2797943,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Disagree"",""Q2"":""Strongly agree"",""Q3"":""Strongly disagree""}",15043.080000003101,
4,1562801576364,10/07/2019 23:32:56,1562801577075,-4,10/07/2019 19:32:57,8835,5,task-uvof,,2797943,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Disagree"",""Q2"":""Strongly agree""}",11835.364999999001,
1,1562802316371,10/07/2019 23:45:16,1562802316200,-4,10/07/2019 19:45:16,8835,5,task-uvof,,2797969,5be36f917432c0000189d51c,774571,,complete,,5d267197ba456a0015106ebb,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 75.0.3770.100,1920x1080,1919x978,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree"",""Q3"":""Strongly agree""}",13956.880000012461,
2,1562802331843,10/07/2019 23:45:31,1562802331735,-4,10/07/2019 19:45:31,8835,5,task-uvof,,2797969,5be36f917432c0000189d51c,774571,,complete,,5d267197ba456a0015106ebb,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 75.0.3770.100,1920x1080,1919x978,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Agree"",""Q3"":""Disagree""}",15500.654999981634,
3,1562802343501,10/07/2019 23:45:43,1562802343412,-4,10/07/2019 19:45:43,8835,5,task-uvof,,2797969,5be36f917432c0000189d51c,774571,,complete,,5d267197ba456a0015106ebb,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 75.0.3770.100,1920x1080,1919x978,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree"",""Q3"":""Strongly agree""}",11655.629999993835,
4,1562802359470,10/07/2019 23:45:59,1562802359410,-4,10/07/2019 19:45:59,8835,5,task-uvof,,2797969,5be36f917432c0000189d51c,774571,,complete,,5d267197ba456a0015106ebb,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 75.0.3770.100,1920x1080,1919x978,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Agree"",""Q2"":""Strongly agree""}",15977.425000048243,
1,1562802388252,10/07/2019 23:46:28,1562802388059,3,11/07/2019 02:46:28,8835,5,task-uvof,,2797971,5ae0b456dc323f0001635e0b,774572,,complete,,5d2671806dc5bd00198aa4d5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1200,1920x1127,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Disagree"",""Q1"":""Agree"",""Q2"":""Disagree"",""Q3"":""Disagree""}",16827.789999999368,
2,1562802403908,10/07/2019 23:46:43,1562802403834,3,11/07/2019 02:46:43,8835,5,task-uvof,,2797971,5ae0b456dc323f0001635e0b,774572,,complete,,5d2671806dc5bd00198aa4d5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1200,1920x1127,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Disagree"",""Q3"":""Disagree""}",15755.239999998594,
3,1562802421296,10/07/2019 23:47:01,1562802421207,3,11/07/2019 02:47:01,8835,5,task-uvof,,2797971,5ae0b456dc323f0001635e0b,774572,,complete,,5d2671806dc5bd00198aa4d5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1200,1920x1127,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Disagree"",""Q2"":""Agree"",""Q3"":""Agree""}",17366.345000002184,
4,1562802430752,10/07/2019 23:47:10,1562802430670,3,11/07/2019 02:47:10,8835,5,task-uvof,,2797971,5ae0b456dc323f0001635e0b,774572,,complete,,5d2671806dc5bd00198aa4d5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1200,1920x1127,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Strongly agree"",""Q2"":""Agree""}",9457.845000000816,
1,1562802979616,10/07/2019 23:56:19,1562802979381,3,11/07/2019 02:56:19,8835,5,task-uvof,,2797985,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Agree"",""Q3"":""Strongly agree""}",19748.955000017304,
2,1562802988584,10/07/2019 23:56:28,1562802988411,3,11/07/2019 02:56:28,8835,5,task-uvof,,2797985,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Agree"",""Q3"":""Disagree""}",9026.630000007572,
3,1562802999647,10/07/2019 23:56:39,1562802999484,3,11/07/2019 02:56:39,8835,5,task-uvof,,2797985,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Strongly agree"",""Q3"":""Agree""}",11065.969999996014,
4,1562803007743,10/07/2019 23:56:47,1562803007563,3,11/07/2019 02:56:47,8835,5,task-uvof,,2797985,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Agree""}",8074.735000001965,
1,1562803086158,10/07/2019 23:58:06,1562803085645,-5,10/07/2019 18:58:05,8835,5,task-uvof,,2797991,5b676f4d3662a80001590769,774602,,complete,,5d26740822313100010599c0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x768,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Disagree"",""Q3"":""Agree""}",13986.759999999776,
2,1562803100756,10/07/2019 23:58:20,1562803100271,-5,10/07/2019 18:58:20,8835,5,task-uvof,,2797991,5b676f4d3662a80001590769,774602,,complete,,5d26740822313100010599c0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x768,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Agree"",""Q3"":""Disagree""}",14606.63499997463,
3,1562803113366,10/07/2019 23:58:33,1562803112909,-5,10/07/2019 18:58:32,8835,5,task-uvof,,2797991,5b676f4d3662a80001590769,774602,,complete,,5d26740822313100010599c0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x768,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Agree"",""Q3"":""Agree""}",12631.765000056475,
4,1562803122106,10/07/2019 23:58:42,1562803121664,-5,10/07/2019 18:58:41,8835,5,task-uvof,,2797991,5b676f4d3662a80001590769,774602,,complete,,5d26740822313100010599c0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x768,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Agree""}",8749.405000009574,
1,1562804910970,11/07/2019 00:28:30,1562804910600,-4,10/07/2019 20:28:30,8835,5,task-uvof,,2798053,5c2da96d0091e40001cb708c,774645,,complete,,5d267d0f22313100160599cd,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree"",""Q3"":""Strongly agree""}",9584.684999892488,
2,1562804920148,11/07/2019 00:28:40,1562804919839,-4,10/07/2019 20:28:39,8835,5,task-uvof,,2798053,5c2da96d0091e40001cb708c,774645,,complete,,5d267d0f22313100160599cd,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree"",""Q3"":""Disagree""}",9200.424999929965,
3,1562804930828,11/07/2019 00:28:50,1562804930524,-4,10/07/2019 20:28:50,8835,5,task-uvof,,2798053,5c2da96d0091e40001cb708c,774645,,complete,,5d267d0f22313100160599cd,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree"",""Q3"":""Strongly agree""}",10666.140000103042,
4,1562804937036,11/07/2019 00:28:57,1562804936768,-4,10/07/2019 20:28:56,8835,5,task-uvof,,2798053,5c2da96d0091e40001cb708c,774645,,complete,,5d267d0f22313100160599cd,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree""}",6225.580000085756,
1,1562804933531,11/07/2019 00:28:53,1562804933644,-4,10/07/2019 20:28:53,8835,5,task-uvof,,2798054,5b134a12bd9c31000156d4e2,774636,,complete,,5d267bbd1f84d50001e2e322,computer,Desktop or Laptop,Chromium OS 11895.118.0,Chrome 74.0.3729.159,1366x768,1366x641,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree"",""Q3"":""Strongly agree""}",18246.805000002496,
2,1562804964219,11/07/2019 00:29:24,1562804964452,-4,10/07/2019 20:29:24,8835,5,task-uvof,,2798054,5b134a12bd9c31000156d4e2,774636,,complete,,5d267bbd1f84d50001e2e322,computer,Desktop or Laptop,Chromium OS 11895.118.0,Chrome 74.0.3729.159,1366x768,1366x641,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Disagree"",""Q2"":""Agree"",""Q3"":""Disagree""}",30722.869999997783,
3,1562805013334,11/07/2019 00:30:13,1562805013444,-4,10/07/2019 20:30:13,8835,5,task-uvof,,2798054,5b134a12bd9c31000156d4e2,774636,,complete,,5d267bbd1f84d50001e2e322,computer,Desktop or Laptop,Chromium OS 11895.118.0,Chrome 74.0.3729.159,1366x768,1366x641,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Strongly disagree"",""Q3"":""Agree""}",48935.75500001316,
4,1562805031516,11/07/2019 00:30:31,1562805031728,-4,10/07/2019 20:30:31,8835,5,task-uvof,,2798054,5b134a12bd9c31000156d4e2,774636,,complete,,5d267bbd1f84d50001e2e322,computer,Desktop or Laptop,Chromium OS 11895.118.0,Chrome 74.0.3729.159,1366x768,1366x641,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Agree"",""Q2"":""Disagree""}",18230.905000003986,
END OF FILE
