Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,reaction time,stimulus,button pressed
4,1554474939817,05/04/2019 14:35:39,1554474942049,-4,05/04/2019 10:35:42,6138,39,task-jgum,,2417087,5a2164f01a1ad3000138f7f9,668237,,complete,,5ca7671a716aef0017078fac,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2521.424999984447,/task/29849/3/asset/Goat.mp3,0
1,1554474948723,05/04/2019 14:35:48,1554474949567,-4,05/04/2019 10:35:49,6138,39,task-jgum,,2417092,5af6a7cde066a40001134a37,668239,,complete,,5ca7674e64dec700160dae51,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,8063.959999999497,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1554474953081,05/04/2019 14:35:53,1554474953991,-4,05/04/2019 10:35:53,6138,39,task-jgum,,2417092,5af6a7cde066a40001134a37,668239,,complete,,5ca7674e64dec700160dae51,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,4422.755000006873,/task/29849/3/asset/Dog.mp3,1
3,1554474955081,05/04/2019 14:35:55,1554474955992,-4,05/04/2019 10:35:55,6138,39,task-jgum,,2417092,5af6a7cde066a40001134a37,668239,,complete,,5ca7674e64dec700160dae51,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,1998.8200000007055,/task/29849/3/asset/Owl.mp3,0
4,1554474957778,05/04/2019 14:35:57,1554474958232,-4,05/04/2019 10:35:58,6138,39,task-jgum,,2417092,5af6a7cde066a40001134a37,668239,,complete,,5ca7674e64dec700160dae51,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2238.9400000029127,/task/29849/3/asset/Goat.mp3,0
1,1554475094273,05/04/2019 14:38:14,1554475094460,1,05/04/2019 15:38:14,6138,39,task-jgum,,2417118,59220a3e9098900001b55aaa,668240,,complete,,5ca767d2685e370001b6fb08,computer,Desktop or Laptop,Windows 10,Firefox 66.0,1920x1080,1920x916,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,9487,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1554475097960,05/04/2019 14:38:17,1554475098184,1,05/04/2019 15:38:18,6138,39,task-jgum,,2417118,59220a3e9098900001b55aaa,668240,,complete,,5ca767d2685e370001b6fb08,computer,Desktop or Laptop,Windows 10,Firefox 66.0,1920x1080,1920x916,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3717,/task/29849/3/asset/Dog.mp3,1
3,1554475100110,05/04/2019 14:38:20,1554475100354,1,05/04/2019 15:38:20,6138,39,task-jgum,,2417118,59220a3e9098900001b55aaa,668240,,complete,,5ca767d2685e370001b6fb08,computer,Desktop or Laptop,Windows 10,Firefox 66.0,1920x1080,1920x916,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2165,/task/29849/3/asset/Owl.mp3,0
4,1554475103440,05/04/2019 14:38:23,1554475103683,1,05/04/2019 15:38:23,6138,39,task-jgum,,2417118,59220a3e9098900001b55aaa,668240,,complete,,5ca767d2685e370001b6fb08,computer,Desktop or Laptop,Windows 10,Firefox 66.0,1920x1080,1920x916,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3323,/task/29849/3/asset/Goat.mp3,0
1,1554475181604,05/04/2019 14:39:41,1554475181349,1,05/04/2019 15:39:41,6138,39,task-jgum,,2417136,5a7a0d8df49c9a0001f31b73,668246,,complete,,5ca7682ac9c35900172800b9,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.121,1920x1080,1920x1009,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,29781.585000018822,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
