Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4
2,1554475124154,05/04/2019 14:38:44,1554475124410,1,05/04/2019 15:38:44,6138,39,task-cukw,,2417123,59220a3e9098900001b55aaa,668240,,complete,,5ca767d2685e370001b6fb08,computer,Desktop or Laptop,Windows 10,Firefox 66.0,1920x1080,1353x649,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
3,1554475135161,05/04/2019 14:38:55,1554475135403,1,05/04/2019 15:38:55,6138,39,task-cukw,,2417123,59220a3e9098900001b55aaa,668240,,complete,,5ca767d2685e370001b6fb08,computer,Desktop or Laptop,Windows 10,Firefox 66.0,1920x1080,1353x649,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
1,1554475186245,05/04/2019 14:39:46,1554475186179,1,05/04/2019 15:39:46,6138,39,task-cukw,,2417145,5ca606a5614b7b0015be495e,668244,,complete,,5ca768217ea4a700019a709b,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,6,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
2,1554475202944,05/04/2019 14:40:02,1554475202883,1,05/04/2019 15:40:02,6138,39,task-cukw,,2417145,5ca606a5614b7b0015be495e,668244,,complete,,5ca768217ea4a700019a709b,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,6,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
3,1554475368430,05/04/2019 14:42:48,1554475368354,1,05/04/2019 15:42:48,6138,39,task-cukw,,2417145,5ca606a5614b7b0015be495e,668244,,complete,,5ca768217ea4a700019a709b,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,6,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
1,1554475198708,05/04/2019 14:39:58,1554475197549,1,05/04/2019 15:39:57,6138,39,task-cukw,,2417146,5978142b21bc3d0001a1d2b6,668245,,complete,,5ca76813253fd60001d258f7,computer,Desktop or Laptop,Chromium OS 11647.104.0,Chrome 73.0.3683.88,1366x768,1366x641,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
2,1554475211140,05/04/2019 14:40:11,1554475210043,1,05/04/2019 15:40:10,6138,39,task-cukw,,2417146,5978142b21bc3d0001a1d2b6,668245,,complete,,5ca76813253fd60001d258f7,computer,Desktop or Laptop,Chromium OS 11647.104.0,Chrome 73.0.3683.88,1366x768,1366x641,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
3,1554475221370,05/04/2019 14:40:21,1554475220273,1,05/04/2019 15:40:20,6138,39,task-cukw,,2417146,5978142b21bc3d0001a1d2b6,668245,,complete,,5ca76813253fd60001d258f7,computer,Desktop or Laptop,Chromium OS 11647.104.0,Chrome 73.0.3683.88,1366x768,1366x641,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
1,1554475193067,05/04/2019 14:39:53,1554475192781,1,05/04/2019 15:39:52,6138,39,task-cukw,,2417147,5a7a0d8df49c9a0001f31b73,668246,,complete,,5ca7682ac9c35900172800b9,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.121,1920x1080,1920x1009,after questionnairs,Pre Max Tapping Instruction,6,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
2,1554475203821,05/04/2019 14:40:03,1554475203598,1,05/04/2019 15:40:03,6138,39,task-cukw,,2417147,5a7a0d8df49c9a0001f31b73,668246,,complete,,5ca7682ac9c35900172800b9,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.121,1920x1080,1920x1009,after questionnairs,Pre Max Tapping Instruction,6,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
3,1554475213406,05/04/2019 14:40:13,1554475213099,1,05/04/2019 15:40:13,6138,39,task-cukw,,2417147,5a7a0d8df49c9a0001f31b73,668246,,complete,,5ca7682ac9c35900172800b9,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.121,1920x1080,1920x1009,after questionnairs,Pre Max Tapping Instruction,6,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
1,1554475196755,05/04/2019 14:39:56,1554475196098,1,05/04/2019 15:39:56,6138,39,task-cukw,,2417148,5c235c04a74d6400016e4179,668249,,complete,,5ca768470aa7300001f4ecb2,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x1009,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
2,1554475213265,05/04/2019 14:40:13,1554475212554,1,05/04/2019 15:40:12,6138,39,task-cukw,,2417148,5c235c04a74d6400016e4179,668249,,complete,,5ca768470aa7300001f4ecb2,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x1009,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
3,1554475226707,05/04/2019 14:40:26,1554475226146,1,05/04/2019 15:40:26,6138,39,task-cukw,,2417148,5c235c04a74d6400016e4179,668249,,complete,,5ca768470aa7300001f4ecb2,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x1009,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
1,1554475283000,05/04/2019 14:41:23,1554475282157,1,05/04/2019 15:41:22,6138,39,task-cukw,,2417170,590b3b8fc0b47a00019944a9,668251,,complete,,5ca7687d4e1823001a06157f,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 73.0.3683.86,1680x1050,1646x890,after questionnairs,Pre Max Tapping Instruction,6,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
2,1554475295612,05/04/2019 14:41:35,1554475295539,1,05/04/2019 15:41:35,6138,39,task-cukw,,2417170,590b3b8fc0b47a00019944a9,668251,,complete,,5ca7687d4e1823001a06157f,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 73.0.3683.86,1680x1050,1646x890,after questionnairs,Pre Max Tapping Instruction,6,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
3,1554475304338,05/04/2019 14:41:44,1554475304267,1,05/04/2019 15:41:44,6138,39,task-cukw,,2417170,590b3b8fc0b47a00019944a9,668251,,complete,,5ca7687d4e1823001a06157f,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 73.0.3683.86,1680x1050,1646x890,after questionnairs,Pre Max Tapping Instruction,6,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
1,1554475289032,05/04/2019 14:41:29,1554475289265,-5,05/04/2019 09:41:29,6138,39,task-cukw,,2417172,5be607e617a93400011b2b6a,668254,,complete,,5ca768b39d7912000165f886,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
2,1554475296956,05/04/2019 14:41:36,1554475297751,-5,05/04/2019 09:41:37,6138,39,task-cukw,,2417172,5be607e617a93400011b2b6a,668254,,complete,,5ca768b39d7912000165f886,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
3,1554475305854,05/04/2019 14:41:45,1554475306634,-5,05/04/2019 09:41:46,6138,39,task-cukw,,2417172,5be607e617a93400011b2b6a,668254,,complete,,5ca768b39d7912000165f886,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
